,Fname,Lname,Dept,rating_class,total_Ratings,overall_rating
70,Larry,Ammann,Mathematics,poor,32,2.5
71,Constance,An,Business,zero,0,N/A
72,Mark,Anderson,Accounting,good,7,4.7
73,Annette,Anderson,Social Work,good,2,4.8
74,Frank,Anderson,Accounting,zero,0,N/A
75,Bill,Anderson,Mathematics,poor,5,2.2
76,Linda,Anderson,Art History,zero,0,N/A
77,Eric,Anderson,Computer Science,zero,0,N/A
78,Philip,Anderson,Physics,average,9,3.0
79,Frank,Anderson,Finance,good,42,3.7
80,Linda,Anderson,Art History,zero,0,N/A
81,Eric,Anderson,Computer Science,zero,0,N/A
82,Philip,Anderson,Physics,average,9,3.0
83,Frank,Anderson,Finance,good,42,3.7
84,Annette,Anderson,Social Work,good,3,3.9
85,William,Anderson,Engineering,poor,21,2.2
86,Michael,Andreen,Arts  Technology,good,5,4.2
87,Titu,Andreescu,Mathematics,good,12,3.5
88,Letitia,Andrews,Communication,zero,0,N/A
89,Rodney,Andrews,Economics,good,20,4.2
90,Aikaterini ,Anestaki,Social Work,good,1,4.5
91,Alexander,Angelus,Business,good,9,3.6
92,Zafar,Anjum,Humanities,good,28,4.3
93,Fadwa,Anka,Chemistry,good,7,4.6
94,Johnson,Aranda,Communication,poor,2,1.0
95,Virginia,Arbery,Humanities,poor,27,1.7
96,Donald,Arbuckle,Political Science,good,9,4.4
97,Daniel,Arce,Economics,good,40,4.6
98,Ariel,Arguelles,Sociology,good,3,5.0
99,Roberto,Armijo,Mathematics,average,16,3.4
100,Cara,Aronson,Engineering,good,2,5.0
101,Vivek,Arora,Management,good,33,3.9
102,Carlos,Arreche,Mathematics,good,5,4.4
103,Artem,Arutyunyan,Arts & Humanities,zero,0,N/A
104,Yubraj,Aryal,Arts & Humanities,good,9,4.8
105,Manmohan,Aseri,Computer Science,good,5,4.6
106,Maedeh,Asgharpour,Arts amp Technology,zero,0,N/A
107,Barbara,Ashmore,Education,zero,0,N/A
108,Victoria,Askew,Health Science,good,2,5.0
109,Houssein,Assaad,Mathematics,good,5,5.0
110,Peter,Assmann,Neuroscience,average,3,3.1
111,Peter,Assmann,Psychology,average,81,3.0
112,Lloyd,Atabansi,Information Science,average,4,3.3
113,Pelin,Atahan,Business,good,2,4.5
114,Kristin,Atchison,Psychology,average,12,3.1
115,Keven,Ates,Computer Science,good,1,5.0
116,Marco,Atzori,Neuroscience,good,11,4.1
117,Lea,Aubrey,Health Science,good,4,5.0
118,Orlando,Auciello,Engineering,good,1,4.0
119,Caroline,Austin-Bolt,Literature,good,5,3.7
120,Mehmet,Ayvaci,Management,poor,9,1.9
121,Danieli,B.C. Rodrigues,Engineering,good,3,3.5
122,Kwang,Bae,Political Science,good,1,5.0
123,Claire,Baetge,Health Science,good,4,4.3
124,Xiaoou,Bai,Business,good,2,5.0
125,Maryam,Baig,Theater,good,17,4.5
126,Vanessa,Baker,Arts  Humanities,good,2,4.8
127,Matthew,Baker,Rhetoric,good,1,4.0
128,Barbara,Baker,Communication,poor,46,2.5
129,Ali,Bakhtiari,Marketing,good,2,4.2
130,Sneha,Bakshi,Economics,average,7,3.0
131,Pavithra,Balaji,Business,good,2,3.5
132,Mithun,Balakrishnan,Computer Science,good,16,4.3
133,Zalman,Balanov,Mathematics,good,22,3.9
134,Alexandra,Balasa,Arts amp Humanities,good,4,4.5
135,Ken,Balkus,Chemistry,zero,0,N/A
136,Kenneth,Balkus,Chemistry,poor,1,2.0
137,Nancy,Ballard,Biology,good,2,5.0
138,Gregory,Ballew,Accounting,good,4,4.8
139,Anne,Balsamo,Arts amp Technology,poor,10,2.3
140,Bhasker,Banerjee,Electrical Engineering,average,4,3.2
141,Olivia,Banner,Arts  Technology,good,6,3.9
142,Sheheryar,Banuri,Economics,zero,0,N/A
143,Dichu,Bao,Accounting,average,4,3.4
144,Nina,Baranchuk,Business,poor,30,2.5
145,Nina,Baranchuk,Finance,zero,0,N/A
146,Philip,Barber,Rhetoric,good,2,5.0
147,John,Barden,Accounting,good,108,3.9
148,Indranil,Bardhan,Accounting,average,10,3.4
149,Anindita,Bardhan,Accounting,average,12,2.6
150,Indranil,Bardhan,Information Science,good,1,5.0
151,John,Barfoot,Psychology,good,66,4.0
152,Lilian,Barger,History,average,4,2.8
153,Rita,Bargerhuff Egeland,Marketing,good,22,4.7
154,George,Barnes,Business,poor,26,2.3
155,Bruce,Barnes,Design,good,8,4.1
156,James,Barnes,Criminal Justice,good,6,4.0
157,Ashley,Barnes,Literature,average,15,3.4
158,Michael,Baron,Mathematics,good,2,4.5
159,Ivey,Barr,Arts & Humanities,good,1,5.0
160,Indranil,Bardhan,Information Science,good,1,5.0
161,John,Barfoot,Psychology,good,66,4.0
162,Lilian,Barger,History,average,4,2.8
163,Rita,Bargerhuff Egeland,Marketing,good,24,4.7
164,George,Barnes,Business,poor,26,2.3
165,Bruce,Barnes,Design,good,8,4.1
166,James,Barnes,Criminal Justice,good,6,4.0
167,Ashley,Barnes,Literature,average,15,3.4
168,Michael,Baron,Mathematics,good,2,4.5
169,Ivey,Barr,Arts & Humanities,good,1,5.0
170,James,Bartlett,Psychology,average,47,3.4
171,Taylor,Barton,Electrical Engineering,good,3,3.7
172,Aaron,Bartula,Criminal Justice,good,4,5.0
173,Chandramallika ,Basak,Psychology,good,1,4.0
174,Chandramalika,Basak,Psychology,poor,16,2.3
175,Farokh,Bastani,Computer Science,average,5,3.0
176,Sharmistha,Basu,English,good,2,4.8
177,Kanad,Basu,Electrical Engineering,good,13,3.8
178,R. Paul,"Battaglio, Jr.",Political Science,good,7,4.6
179,Terry,Baughn,Engineering,poor,6,2.0
180,Mohamed Amine,Belkoura,Computer Science,average,4,3.0
181,Mohamed,Belkoura,Computer Science,average,29,2.7
182,Elizabeth,Bell,Communication,poor,3,1.9
183,John,Bell,Physical Education,good,2,4.5
184,Lisa,Bell,Communication,average,18,3.0
185,Teodoro,Benavides,Political Science,good,8,4.5
186,Robert,Bender,Business,good,58,4.8
187,Robert,Bender,Finance,good,4,5.0
188,Terrell,Bennett,Electrical Engineering,average,5,3.4
189,Lance,Bennett,Business,zero,0,N/A
190,Rodger,Bennett,Music,good,10,3.9
191,Caryn,Berardi,Accounting,good,19,4.8
192,Sergey,Bereg,Computer Science,good,115,4.2
193,Irina,Berezovik,Mathematics,good,2,4.0
194,Nathan,Berg,Economics,good,12,3.6
195,Elizabeth,Berger,Arts & Technology,poor,1,2.0
196,Donna,Berliner,Humanities,good,3,3.7
197,Rodrigo,Bernal,Engineering,good,10,4.5
198,Charles,Bernardin,Engineering,good,10,3.6
199,Kurt,Beron,Economics,average,10,3.4
200,Tracey,Berry,Rhetoric,good,3,5.0
201,Tracey,Berry,English,zero,0,N/A
202,Robert,Best,Operations Management,poor,8,2.2
203,Christina,Betanzos,Law,good,114,3.5
204,Chitturi,Bhadrachalam,Computer Science,average,28,3.1
205,Kadiyala      ,Bharadwaj    ,Operations Management,good,1,4.5
206,Kong,Bhat,Computer Science,good,2,4.5
207,Dimple,Bhatia,Accounting,poor,3,1.7
208,Dinesh,Bhatia,Electrical Engineering,zero,0,N/A
209,Dinesh,Bhatia,Engineering,good,22,3.6
210,Tanay,Bhatt,Engineering,poor,17,2.0
211,Anwesha ,Bhattacharjee,Business,average,4,3.4
212,christopher,bhatti,Business,good,1,5.0
213,Ashutosh,Bhave,Business,good,1,5.0
214,Rekha,Bhowmik,Computer Science,poor,15,1.3
215,Ning,Bian,Engineering,zero,0,N/A
216,Michael,Biewer,Chemistry,average,49,3.3
217,Ernest,Bigham,Marketing,good,1,5.0
218,Aysegul,Bilhan,Business,poor,18,2.2
219,Steven,Billingslea,Arts  Technology,good,1,5.0
220,Tanay,Bhatt,Engineering,poor,17,2.0
221,Anwesha ,Bhattacharjee,Business,average,4,3.4
222,christopher,bhatti,Business,good,1,5.0
223,Ashutosh,Bhave,Business,good,1,5.0
224,Rekha,Bhowmik,Computer Science,poor,15,1.3
225,Ning,Bian,Engineering,zero,0,N/A
226,Michael,Biewer,Chemistry,average,49,3.3
227,Ernest,Bigham,Marketing,good,1,5.0
228,Aysegul,Bilhan,Business,poor,18,2.2
229,Steven,Billingslea,Arts  Technology,good,1,5.0
230,Yuanchen,Bing,Economics,zero,0,N/A
231,Ivan,Birch,Criminal Justice,good,5,4.2
232,Jack,Birchfield,Psychology,good,15,4.9
233,Jack,Birchfield,Behavioral Sciences,zero,0,N/A
234,Steve,Bishopp,Criminal Justice,good,7,4.6
235,Madhavi,Biswas,Rhetoric,average,17,3.0
236,Abhijit,Biswas,Business,good,209,4.8
237,Swati,Biswas,Statistics,average,21,3.1
238,Rhonda,Blackburn,Psychology,good,1,5.0
239,Ron,Blair,Accounting,poor,7,2.4
240,Gary,Bolton,Operations Management,good,1,5.0
241,Matthew,Bondurant,Arts & Humanities,good,4,4.4
242,Suzanne,Bonifert,Speech & Language Pathology,poor,1,2.0
243,Deborah,Bonner,Psychology,good,16,4.3
244,Paul,Booker,Fine Arts,good,6,4.2
245,Paul,Booker,Arts  Technology,average,1,2.5
246,Denise,Boots,Public Policy,good,49,4.9
247,Mehra,Borazjany,Computer Science,average,76,3.0
248,Terry,Bordelon,Electrical Engineering,good,1,4.0
249,Irina,Borovkov,Biology,poor,42,2.0
250,Monica,Borowicz,Computer Science,good,1,5.0
251,Tiffany,Bortz,Accounting,good,68,3.8
252,Ranavir,Bose,Information Science,average,16,2.5
253,Lisa,Bost-Sandberg,Music,good,5,3.9
254,Catalina,Boudreaux,Physics,poor,5,1.1
255,Alisa,Bovda,English,zero,0,N/A
256,Alisa,Bovda,Rhetoric,poor,6,1.2
257,Cliff,Bowden,Not Specified,good,3,4.3
258,Richard,Bowen,Accounting,average,42,3.1
259,Sarah,Bowman,Arts & Technology,good,3,3.5
260,Tiffany,Bortz,Accounting,good,68,3.8
261,Ranavir,Bose,Information Science,poor,17,2.4
262,Lisa,Bost-Sandberg,Music,good,5,3.9
263,Catalina,Boudreaux,Physics,poor,5,1.1
264,Alisa,Bovda,English,zero,0,N/A
265,Alisa,Bovda,Rhetoric,poor,6,1.2
266,Cliff,Bowden,Not Specified,good,3,4.3
267,Richard,Bowen,Accounting,average,43,3.1
268,Sarah,Bowman,Arts & Technology,good,3,3.5
269,Elizabeth,Boyd,Arts  Technology,good,3,5.0
270,Stefanie,Boyd,Biochemistry,average,6,3.0
271,Kent,Boyer,Arts & Humanities,good,3,5.0
272,Brittany,Boyer ,Psychology,good,1,5.0
273,Catherine,Boynton,Psychology,good,1,5.0
274,Adam,Brackin,Arts & Technology,good,8,3.9
275,Dana,Bracy,Accounting,good,2,3.5
276,Judd,Bradbury,Business,poor,77,2.5
277,Caitlin,Braitsch,Biology,good,7,5.0
278,Oze,Brand,Engineering,zero,0,N/A
279,Jonathan,Brandenburg,Computer Science,good,33,4.0
280,Dawn,Brinkley,Psychology,average,27,3.2
281,Joselyn,Briseno,Business,poor,18,2.2
282,Salena,Brody,Psychology,good,35,4.5
283,Lori,Brooks,Education,good,1,5.0
284,Matthew,Brown,Humanities,average,9,3.2
285,Spencer,Brown-Pearn,Fine Arts,good,2,4.5
286,Elizabeth,Bruce,Business Communications,poor,38,2.5
287,Norris,Bruce,Marketing,average,18,3.2
288,Thomas,Brunell,Social Science,good,26,3.7
289,Monica,Brussolo,Business,average,94,3.5
290,Daniel,Buechler,Business,good,11,4.3
291,Nili,Bueckert,Music,good,1,5.0
292,Lee,Bulla,Biology,average,24,2.7
293,Alexander,Bulter,Finance,zero,0,N/A
294,Umut,Bulut,Chemistry,average,3,3.2
295,Jonas,Bunte,Economics,good,14,5.0
296,Aydin,Burcak,Marketing,poor,3,2.3
297,Christopher,Burk,Political Science,good,1,5.0
298,Lora,Burnett,History,good,33,4.5
299,Gerald,Burnham,Electrical Engineering,poor,27,2.1
300,John,Burr,Biology,average,54,3.2
301,Michael,Burton,Neuroscience,poor,4,2.3
302,Anne,Burton,Mathematics,zero,0,N/A
303,Andrew,Busch,History,good,4,5.0
304,Carlos,Busso,Electrical Engineering,average,36,2.8
305,Ammon,Butcher,Accounting,good,1,5.0
306,Leeann,Butler,Business,good,12,4.0
307,Suzanne,Byrd,Music,average,1,2.5
308,Kathleen,Byrnes,Health Science,average,47,2.8
309,Seong,Byun,Finance,good,3,4.8
310,Tom,Bywaters,Arts & Technology,good,2,4.8
311,Xiang ,Cai,Statistics,poor,2,1.0
312,Metin,Cakanyildirim,Business,average,10,2.5
313,Bryon,Caldwell,Arts & Technology,good,1,5.0
314,Engin,Calisir,Information Science,good,8,4.5
315,Christopher,Camacho,Arts  Technology,good,8,4.5
316,Amalia Lorena,Camacho-Guardardo,Arts & Humanities,good,6,4.7
317,Zachary,Campbell,Biology,good,26,3.8
318,Joan,Canby,Literature,good,1,4.5
319,Mehmet,Candas,Biology,average,78,3.0
320,Amalia Lorena,Camacho-Guardardo,Arts & Humanities,good,8,4.7
321,Zachary,Campbell,Biology,good,27,3.8
322,Joan,Canby,Literature,good,1,4.5
323,Mehmet,Candas,Biology,average,79,3.0
324,Natalia,Candelo Londono,Economics,good,10,3.7
325,Jordan,Canfield,Writing,good,4,3.5
326,Hakki,Cankaya,Information Science,poor,7,2.3
327,Ebru,Cankaya,Computer Science,good,60,3.9
328,Charles,Cannon,Communication,good,1,5.0
329,Cyrus,Cantrell,Electrical Engineering,good,4,3.6
330,Jennifer,Cantrell-Sutor,Arts & Humanities,good,1,5.0
331,Xuying,Cao,Business,poor,5,1.6
332,Quingning,Cao,Business,zero,0,N/A
333,Ruikai,Cao,Statistics,poor,1,1.0
334,Ying,Cao,Business,good,1,4.0
335,Yan,Cao,Mathematics,poor,21,2.3
336,Octavian,Carare,Economics,good,1,3.5
337,Marcel,Carcea,Mathematics,good,11,4.7
338,Alvaro,Cardenas,Computer Science,good,12,3.5
339,Stephanie,Cardwell,Criminal Justice,zero,0,N/A
340, Beverly,Carlsen-Landy,Sociology,average,3,3.3
341,Eric,Carlson,Communication,good,10,4.2
342,Maxwell,Carlton,Psychology,good,1,5.0
343,Shawn,Carraher,International Business,good,219,4.7
344,Shawn,Carraher,Management,good,3,3.7
345,Benjamin,Carrion Schaefer,Electrical Engineering,good,12,4.0
346,Rebecca,Carter,Arts  Humanities,zero,0,N/A
347,Allison,Case,Engineering,good,12,3.5
348,Walter,Casey,Political Science,good,8,3.7
349,John,Cassil,Accounting,poor,3,1.3
350,Jonathan,Caudill,Criminal Justice,good,4,4.5
351,Huseyin,Cavusoglu,Business,poor,31,2.0
352,Brett,Cease,Political Science,good,1,5.0
353,Filip ,Celander ,Arts  Technology,good,14,3.7
354,Shannon,Cepica,Business,good,2,5.0
355,Yves,Chabal,Engineering,good,1,4.0
356,Mary,Chaffin,Business,average,8,2.6
357,Shaibal,Chakrabarty,Arts & Technology,poor,1,1.0
358,Dipnil,Chakraborty,Statistics,good,3,5.0
359,Bryan,Chambers,Business,zero,0,N/A
360,Anthony,Champagne,Political Science,good,24,4.9
361,Julia,Chan,Chemistry,good,4,5.0
362,Candice,Chandler,Education,poor,27,2.3
363,Adam,Chandler,Arts amp Technology,good,7,4.4
364,Noirrit,Chandra,Mathematics,zero,0,N/A
365,Ramaswamy,Chandrasekaran,Computer Science,good,39,4.1
366,Anthony,Chaney,History,good,14,4.0
367,Pawinee,Changphao,Business,good,2,4.5
368,David,Channell,Humanities,good,14,4.7
369,Mark,Chapman,Humanities,good,4,4.1
370,Julie,Chapman,Finance,good,4,4.0
371,Juliann,Chapman,Finance,good,22,4.4
372,Nancy,Chapman-Green,Education,good,4,4.8
373,Sruti,Chappidi,Computer Science,zero,0,N/A
374,Sruthi,Chappidi,Computer Science,average,11,2.9
375,Bryan,Chastain,Social Science,good,17,4.2
376,Larry,Chasteen,Business,average,24,2.5
377,Amitava,Chatterjee,Mathematics,poor,18,1.4
378,Amitava,Chatterjee,Electrical Engineering,poor,3,2.0
379,Sourav,Chatterjee,Business,good,11,3.9
380,Bhargab,Chattopadhyay,Statistics,average,14,2.9
381,Aaron,Chawla,Finance,poor,1,1.5
382,Jianqing,Chen,Information Science,good,12,3.5
383,Shaokuan,Chen,Operations Management,good,3,5.0
384,Patricia,Chen,Economics,zero,0,N/A
385,Yong,Chen,Mathematics,poor,2,1.0
386,Jiayu,Chen,Operations Management,good,6,4.5
387,Lunjin,Chen,Physics,average,32,2.8
388,Bei,Chen,Languages,good,7,4.8
389,Zhengyang,Chen,Economics,good,11,4.5
390,Feng,Chen,Computer Science,average,3,3.3
391,Min,Chen,Mathematics,good,21,4.1
392,Adam,Cheney,Rhetoric,good,6,3.5
393,Samuel,Cheng,Accounting,average,9,3.1
394,Michael,Cherbonneau,Criminal Justice,good,3,4.8
395,Sivaram,Cheruvu,Political Science,good,3,5.0
396,Jacquelyn,Cheun,Sociology,poor,8,1.8
397,Anjum,Chida,Computer Science,average,78,3.4
398,Charles,Chika,Mathematics,average,1,3.0
399,Curt,Childress,Political Science,good,3,4.3
400,Yun,Chiu,Engineering,poor,12,2.1
401,Susan,Chizeck,Not Specified,good,7,3.8
402,Kyeongjae,Cho,Engineering,poor,2,2.0
403,Michael,Choate,Business,good,19,4.5
404,Emily,Choi,Business,good,22,4.5
405,Sl Ghi,Choi,Mathematics,average,3,3.0
406,Wonjae,Choi,Engineering,good,1,4.0
407,Soohyun,Choi,Economics,average,2,2.5
408,Rashmi,Chordiya,Political Science,good,9,4.6
409,Pankaj,Choudhary,Computer Science,good,24,3.8
410,Michael,Christiansen,Computer Science,average,96,2.7
411,Daedra,Christopher,Arts  Technology,good,6,3.7
412,Timothy,Christopher,Arts & Technology,average,6,3.3
413,Yu,Chu,Accounting,good,3,4.0
414,Lawrence,Chung,Computer Science,poor,34,2.4
415,Anshuman,Chutani,Business,zero,0,N/A
416,Umberto,Ciri,Engineering,average,5,3.2
417,Vincent,Cirillo,Biology,good,4,3.5
418,JASON,CIRILO,Management,average,2,3.0
419,Jackie,Clark,Health Science,average,6,3.3
420,Michael,Choate,Business,good,19,4.5
421,Sl Ghi,Choi,Mathematics,average,3,3.0
422,Wonjae,Choi,Engineering,good,1,4.0
423,Soohyun,Choi,Economics,average,3,3.0
424,Emily,Choi,Business,good,23,4.5
425,Rashmi,Chordiya,Political Science,good,9,4.6
426,Pankaj,Choudhary,Computer Science,good,24,3.8
427,Michael,Christiansen,Computer Science,average,96,2.7
428,Daedra,Christopher,Arts  Technology,good,6,3.7
429,Timothy,Christopher,Arts & Technology,average,6,3.3
430,Yu,Chu,Accounting,good,3,4.0
431,Lawrence,Chung,Computer Science,poor,34,2.4
432,Anshuman,Chutani,Business,zero,0,N/A
433,Umberto,Ciri,Engineering,average,5,3.2
434,Vincent,Cirillo,Biology,good,4,3.5
435,JASON,CIRILO,Management,average,2,3.0
436,Jackie,Clark,Health Science,average,6,3.3
437,Mark,Clark,Marketing,average,5,3.0
438,Harold,Clarke,Political Science,good,1,5.0
439,Deborah,Clegg,Medicine,poor,1,1.0
440,Nan,Clement,Economics,good,1,5.0
441,Michael,Cleveland,Theater,good,2,4.0
442,Ravin,Cline,Sociology,good,1,5.0
443,Stephen,Clipper,Criminal Justice,good,3,5.0
444,Jorge,Cobb,Computer Science,average,32,3.2
445,Kristen,Cochran,Arts & Humanities,good,2,4.3
446,Stuart,Cogan,Engineering,good,5,4.8
447,Diana,Cogan,Mathematics,average,59,3.1
448,Milton,Cohen,Humanities,good,18,3.9
449,Daniel,Cohen,Accounting,good,11,4.2
450,Galia,Cohen,Economics,good,192,4.3
451,Melinda,Colby,Arts  Technology,zero,0,N/A
452,John,Cole,Computer Science,average,135,3.3
453,Ann,Coleman,Electrical Engineering,average,8,2.6
454,James,Coleman,Electrical Engineering,zero,0,N/A
455,Nora,Collins,Languages,good,2,5.0
456,Ziya,Cologlu,Statistics,good,4,4.4
457,Gregory,Combs,History,good,20,3.6
458,Kristi,Compton,Psychology,good,6,4.4
459,Ronan,Conlon,Mathematics,good,10,4.3
460,Sergio,Cortes,Chemistry,good,70,3.6
461,Sergio,Cortez,Chemistry,good,1,5.0
462,Baris,Coskunuzer,Mathematics,average,15,3.4
463,Sean,Cotter,English,poor,9,1.4
464,Sean,Cotter,Humanities,average,45,2.8
465,Scott,Cotton,History,good,14,4.8
466,Norm,Cox,Arts & Technology,good,1,5.0
467,Catherine,Craft,Arts & Humanities,good,1,4.0
468,Jacob Joel,Crawford,Rhetoric,good,5,4.0
469,Rachel,Crawford,Arts  Humanities,good,10,4.5
470,William,Cready,Accounting,poor,12,1.4
471,Michael,Crespin,Political Science,average,12,2.8
472,Andrea,Croasdale Woudwyk,Engineering,good,2,5.0
473,Kevin,Crook,Management,good,17,4.8
474,Hilary,Cross,Psychology,average,4,2.8
475,Wade,Crowder,English,poor,14,1.6
476,John,Cue,Chemistry,good,1,5.0
477,David,Cullen,History,good,6,4.8
478,Timothy,Culver,Computer Science,good,29,4.0
479,Jennifer,Culvert,English,good,1,5.0
480,Hilary,Cross,Psychology,average,4,2.8
481,Wade,Crowder,English,poor,14,1.6
482,John,Cue,Chemistry,good,1,5.0
483,David,Cullen,History,good,6,4.8
484,Timothy,Culver,Computer Science,good,31,4.0
485,Jennifer,Culvert,English,good,1,5.0
486,Anthony,Cummings,Geography,average,21,3.0
487,Mark,Cunningham,Marketing,good,25,4.9
488,Fred,Curchack,Humanities,average,18,3.5
489,Elizabeth,Currey,Arts & Humanities,zero,0,N/A
490,Elizabeth,Currey,Rhetoric,average,4,3.3
491,Barbara,Curry,Education,good,6,4.7
492,Val,Curry,Arts  Humanities,good,64,4.5
493,Sheena,D'arcy,Biochemistry,good,9,4.5
494,Santosh,D'Mello,Biology,average,1,2.5
495,Vito,D'Orazio,Political Science,good,10,3.6
496,Malgorzata,Dabkowska,Mathematics,average,40,3.5
497,Mieczyslaw,Dabkowski,Mathematics,good,39,4.3
498,Ovidiu,Daescu,Computer Science,average,25,3.1
499,Rabin ,Dahal,Mathematics,good,65,4.8
500,Anthony,Cummings,Geography,average,21,3.0
501,Mark,Cunningham,Marketing,good,25,4.9
502,Fred,Curchack,Humanities,average,18,3.5
503,Elizabeth,Currey,Arts & Humanities,zero,0,N/A
504,Elizabeth,Currey,Rhetoric,average,4,3.3
505,Barbara,Curry,Education,good,6,4.7
506,Val,Curry,Arts  Humanities,good,64,4.5
507,Sheena,D'arcy,Biochemistry,good,9,4.5
508,Santosh,D'Mello,Biology,average,1,2.5
509,Vito,D'Orazio,Political Science,good,10,3.6
510,Malgorzata,Dabkowska,Mathematics,average,40,3.5
511,Mieczyslaw,Dabkowski,Mathematics,good,39,4.3
512,Ovidiu,Daescu,Computer Science,average,25,3.1
513,Rabin ,Dahal,Mathematics,good,65,4.8
514,Xianming,Dai,Engineering,good,14,4.0
515,Zhonglan,Dai,Accounting,poor,11,1.2
516,Tevfik,Dalgic,Business,average,12,3.4
517,Tony,Daniel,Humanities,good,3,4.3
518,Jacqueline,Daniels,Behavioral Sciences,poor,3,2.2
519,Chetan,Dave,Economics,good,5,4.0
520,Katherine,Davies,Philosophy,good,9,4.6
521,Walter,Davis,Economics,good,3,4.7
522,Christopher,Davis,Information Science,good,3,5.0
523,Stephanie,Davis,Humanities,good,48,4.7
524,Stephanie,Davis,Political Science,good,4,4.5
525,Richard,Davis,Finance,zero,0,N/A
526,Charles,Davis,Computer Science,zero,0,N/A
527,Renee,Davis,Education,good,2,5.0
528,Garrett,Davis,Sociology,good,4,3.7
529,Letitia,Davis,Communication,good,1,5.0
530,Chris,Davis,Computer Science,average,60,3.1
531,Levon,Davtyan,Physics,poor,15,1.2
532,Milind,Dawande,Business,good,6,3.9
533,Theodore,Day,Finance,poor,19,2.1
534,Lora Neita,Day,Health Science,zero,0,N/A
535,Lora,Day,Health Science,poor,24,2.2
536,Partha,De,Computer Science,good,12,3.8
537,Carlos,De La Plata,Neuroscience,good,1,4.5
538,Veronica,de los Santos,Business Communications,good,22,3.5
539,Nicole,De Nisco,Biology,good,5,3.6
540,Kruti,Dholakia,Economics,good,14,3.9
541,David,Dial,Business,good,3,4.5
